A	B	C	b_limite	Volumen	Area
5.300000	0.700000	5.500000	7.638000	125.734100	161.549200
5.400000	0.700000	5.500000	7.706000	115.531800	154.848900
5.500000	0.700000	5.600000	7.848000	121.753600	160.403400
5.600000	0.700000	5.600000	7.918000	110.838200	150.781900
5.700000	0.700000	5.700000	8.060000	116.882600	156.224900
3.900000	0.800000	4.200000	5.730000	84.054440	116.195900
4.000000	0.800000	4.300000	5.872000	89.663250	121.506100
4.100000	0.800000	4.300000	5.940000	81.946270	116.953400
4.100000	0.800000	4.400000	6.014000	95.512620	126.931700
4.200000	0.800000	4.400000	6.082000	87.413600	122.233600
4.200000	0.800000	4.500000	6.154000	101.607300	132.436700
4.300000	0.800000	4.500000	6.224000	93.116910	127.628500
4.300000	0.800000	4.600000	6.296000	107.952000	138.092500
4.400000	0.800000	4.500000	6.292000	84.289740	121.872200
4.400000	0.800000	4.600000	6.364000	99.061380	133.101700
4.500000	0.800000	4.600000	6.434000	89.825810	127.214300
4.500000	0.800000	4.700000	6.506000	105.251900	138.725000
4.600000	0.800000	4.600000	6.504000	80.238010	118.847800
4.600000	0.800000	4.700000	6.576000	95.598880	132.669900
4.600000	0.800000	4.800000	6.648000	111.693200	144.462500
4.700000	0.800000	4.700000	6.646000	85.585590	124.082200
4.700000	0.800000	4.800000	6.716000	101.613400	138.202300
4.700000	0.800000	4.900000	6.788000	118.390400	150.275900
4.800000	0.800000	4.800000	6.788000	91.165640	129.429200
4.800000	0.800000	4.900000	6.858000	107.874700	143.884400
4.800000	0.800000	5.000000	6.930000	125.348400	156.241500
4.900000	0.800000	4.900000	6.928000	96.983040	134.851700
4.900000	0.800000	5.000000	7.000000	114.387500	149.680100
5.000000	0.800000	5.000000	7.070000	103.042900	140.424000
5.000000	0.800000	5.100000	7.142000	121.157000	155.589700
5.100000	0.800000	5.100000	7.212000	109.350100	146.108400
5.200000	0.800000	5.200000	7.352000	115.909500	151.866600
5.300000	0.800000	5.300000	7.494000	122.725900	157.776300
3.800000	0.900000	4.000000	5.516000	84.684770	116.488000
3.900000	0.900000	4.100000	5.658000	90.745460	122.146600
4.000000	0.900000	4.100000	5.728000	81.523800	116.597300
4.000000	0.900000	4.200000	5.798000	97.086150	127.895100
